unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1632295620,2021-09-22 07:27:00,BTC/USD,42289.92,42301.23,42289.92,42301.23,0.02468000,1043.9943564
1632295560,2021-09-22 07:26:00,BTC/USD,42297.98,42307.62,42265.01,42272.08,1.27549452,53917.806389001606
1632295500,2021-09-22 07:25:00,BTC/USD,42337.05,42341.65,42303.92,42303.92,0.72140986,30518.465004651196
1632295440,2021-09-22 07:24:00,BTC/USD,42312.37,42337.05,42304.47,42337.05,0.15904564,6733.523212962
1632295380,2021-09-22 07:23:00,BTC/USD,42296.44,42324.61,42296.44,42316.63,0.01846853,781.5259506538999
1632295320,2021-09-22 07:22:00,BTC/USD,42317.54,42320.23,42307.21,42307.21,0.17771797,7518.7514775637
1632295260,2021-09-22 07:21:00,BTC/USD,42315.91,42315.91,42287.66,42287.66,1.08020165,45679.20010663901
1632295200,2021-09-22 07:20:00,BTC/USD,42298.05,42302.10,42287.66,42297.73,1.05147519,44475.0136883187
1632295140,2021-09-22 07:19:00,BTC/USD,42281.62,42314.57,42281.62,42297.65,2.62276117,110936.6340022505
1632295080,2021-09-22 07:18:00,BTC/USD,42270.71,42274.04,42260.31,42274.04,0.98517092,41647.1548789168
1632295020,2021-09-22 07:17:00,BTC/USD,42238.91,42283.19,42225.58,42283.19,0.42287872,17880.6612647168
1632294960,2021-09-22 07:16:00,BTC/USD,42216.51,42236.55,42215.05,42236.55,1.83758832,77613.39095709601
1632294900,2021-09-22 07:15:00,BTC/USD,42228.49,42250.20,42215.05,42229.85,10.07260771,425364.7127021435
1632294840,2021-09-22 07:14:00,BTC/USD,42184.41,42225.46,42184.41,42214.29,2.02237138,85372.9719230202
1632294780,2021-09-22 07:13:00,BTC/USD,42187.47,42216.18,42185.49,42185.49,0.70090187,29567.8888278663
1632294720,2021-09-22 07:12:00,BTC/USD,42221.16,42221.16,42188.79,42188.79,0.42486614,17924.5883585706
1632294660,2021-09-22 07:11:00,BTC/USD,42221.70,42221.70,42200.29,42200.29,0.36673091,15476.1507539639
1632294600,2021-09-22 07:10:00,BTC/USD,42217.68,42243.34,42217.68,42243.34,0.18568048,7843.7636480032
1632294540,2021-09-22 07:09:00,BTC/USD,42195.90,42213.00,42174.28,42213.00,1.66529810,70297.2286953
